File: 2000 grafi
CPU: 96.9% | Memory: 2540.41 MB
CPU: 82.8% | Memory: 2540.37 MB
CPU: 63.1% | Memory: 2540.37 MB
CPU: 75.0% | Memory: 2540.37 MB
CPU: 84.4% | Memory: 2540.37 MB
CPU: 53.9% | Memory: 2540.38 MB
CPU: 71.9% | Memory: 2540.36 MB
CPU: 84.4% | Memory: 2540.36 MB
CPU: 89.2% | Memory: 2540.36 MB
CPU: 79.7% | Memory: 2540.61 MB
CPU: 32.8% | Memory: 2540.61 MB
CPU: 48.4% | Memory: 2540.61 MB
CPU: 55.4% | Memory: 2540.61 MB
CPU: 43.1% | Memory: 2540.61 MB
CPU: 45.3% | Memory: 2540.61 MB
CPU: 16.9% | Memory: 2541.36 MB
CPU: 27.7% | Memory: 2541.36 MB
CPU: 21.6% | Memory: 2541.36 MB
CPU: 20.3% | Memory: 2541.48 MB
CPU: 0.0% | Memory: 2541.48 MB
CPU: 12.3% | Memory: 2541.74 MB
CPU: 12.3% | Memory: 2541.74 MB
CPU: 4.6% | Memory: 2541.74 MB
CPU: 43.8% | Memory: 2541.74 MB
CPU: 40.0% | Memory: 2542.02 MB
CPU: 70.8% | Memory: 2285.20 MB
CPU: 82.8% | Memory: 2285.20 MB
CPU: 63.1% | Memory: 2285.20 MB
CPU: 43.8% | Memory: 2285.48 MB
CPU: 49.3% | Memory: 2285.50 MB
CPU: 67.7% | Memory: 2285.50 MB
CPU: 26.6% | Memory: 2285.66 MB
CPU: 9.2% | Memory: 2285.66 MB
CPU: 35.4% | Memory: 2285.66 MB
CPU: 38.4% | Memory: 2285.66 MB
CPU: 68.8% | Memory: 2285.67 MB
CPU: 47.7% | Memory: 2285.67 MB
CPU: 4.6% | Memory: 2285.67 MB
CPU: 37.5% | Memory: 2285.77 MB
CPU: 4.5% | Memory: 2285.79 MB
CPU: 20.0% | Memory: 2285.79 MB
CPU: 20.3% | Memory: 2285.79 MB
CPU: 23.1% | Memory: 2285.79 MB
CPU: 15.6% | Memory: 2285.73 MB
CPU: 21.6% | Memory: 2285.73 MB
CPU: 12.5% | Memory: 2285.73 MB
CPU: 15.4% | Memory: 2285.73 MB
CPU: 18.5% | Memory: 2285.73 MB
CPU: 13.8% | Memory: 2285.73 MB
CPU: 12.5% | Memory: 2285.92 MB
CPU: 15.4% | Memory: 2285.92 MB
CPU: 28.1% | Memory: 2285.93 MB
CPU: 0.0% | Memory: 2286.14 MB
CPU: 1.5% | Memory: 2286.14 MB
CPU: 17.2% | Memory: 2286.45 MB
CPU: 9.2% | Memory: 2286.45 MB
CPU: 6.2% | Memory: 2286.45 MB
CPU: 18.8% | Memory: 2286.45 MB
CPU: 24.6% | Memory: 2286.55 MB
CPU: 24.6% | Memory: 2286.55 MB
CPU: 24.6% | Memory: 2286.82 MB
CPU: 9.4% | Memory: 2286.77 MB
CPU: 4.6% | Memory: 2286.75 MB
CPU: 15.4% | Memory: 2286.75 MB
CPU: 23.1% | Memory: 2287.03 MB
CPU: 64.6% | Memory: 2287.03 MB
CPU: 67.2% | Memory: 2287.03 MB
CPU: 26.1% | Memory: 2287.03 MB
CPU: 12.3% | Memory: 2287.10 MB
CPU: 21.5% | Memory: 2287.10 MB
CPU: 40.0% | Memory: 2287.10 MB
CPU: 20.3% | Memory: 2287.16 MB
CPU: 6.2% | Memory: 2287.16 MB
CPU: 6.2% | Memory: 2287.18 MB
CPU: 10.8% | Memory: 2287.18 MB
CPU: 4.7% | Memory: 2287.18 MB
CPU: 4.7% | Memory: 2287.18 MB
CPU: 6.2% | Memory: 2287.27 MB
CPU: 7.7% | Memory: 2287.70 MB
CPU: 21.5% | Memory: 2287.70 MB
CPU: 10.8% | Memory: 2287.70 MB
CPU: 50.8% | Memory: 2287.70 MB
CPU: 10.8% | Memory: 2287.70 MB
CPU: 3.1% | Memory: 2287.68 MB
CPU: 4.7% | Memory: 2287.68 MB
CPU: 13.8% | Memory: 2287.68 MB
CPU: 12.5% | Memory: 2287.88 MB
CPU: 3.1% | Memory: 2287.95 MB
CPU: 3.1% | Memory: 2287.95 MB
CPU: 10.9% | Memory: 2287.95 MB
CPU: 3.1% | Memory: 2288.21 MB
CPU: 21.9% | Memory: 2288.21 MB
CPU: 15.6% | Memory: 2288.21 MB
CPU: 16.9% | Memory: 2288.21 MB
CPU: 49.2% | Memory: 2288.80 MB
CPU: 67.7% | Memory: 2288.80 MB
CPU: 21.9% | Memory: 2288.80 MB
CPU: 26.1% | Memory: 2288.93 MB
CPU: 31.2% | Memory: 2289.21 MB
CPU: 6.1% | Memory: 2289.21 MB
CPU: 6.2% | Memory: 2289.21 MB
CPU: 18.5% | Memory: 2289.21 MB
CPU: 21.9% | Memory: 2289.21 MB
CPU: 28.1% | Memory: 2289.29 MB
CPU: 32.3% | Memory: 2289.29 MB
CPU: 15.2% | Memory: 2289.30 MB
CPU: 18.5% | Memory: 2289.30 MB
CPU: 53.1% | Memory: 2289.30 MB
CPU: 12.3% | Memory: 2289.36 MB
CPU: 23.1% | Memory: 2289.36 MB
CPU: 9.2% | Memory: 2289.36 MB
CPU: 26.1% | Memory: 2289.36 MB
CPU: 44.6% | Memory: 2289.36 MB
CPU: 12.3% | Memory: 2289.36 MB
CPU: 12.5% | Memory: 2289.36 MB
CPU: 15.6% | Memory: 2289.38 MB
CPU: 16.9% | Memory: 2289.38 MB
CPU: 23.4% | Memory: 2289.48 MB
CPU: 10.8% | Memory: 2289.48 MB
CPU: 27.7% | Memory: 2289.48 MB
CPU: 20.0% | Memory: 2289.48 MB
CPU: 20.0% | Memory: 2289.64 MB
CPU: 14.1% | Memory: 2289.62 MB
CPU: 9.4% | Memory: 2289.62 MB
CPU: 18.5% | Memory: 2289.90 MB
CPU: 18.5% | Memory: 2290.13 MB
CPU: 9.4% | Memory: 2290.13 MB
CPU: 15.4% | Memory: 2290.13 MB
CPU: 29.7% | Memory: 2290.13 MB
CPU: 29.7% | Memory: 2290.13 MB
CPU: 21.9% | Memory: 2290.39 MB
CPU: 23.4% | Memory: 2290.39 MB
CPU: 18.5% | Memory: 2290.39 MB
CPU: 18.5% | Memory: 2290.39 MB
CPU: 12.3% | Memory: 2290.39 MB
CPU: 32.3% | Memory: 2290.64 MB
CPU: 26.6% | Memory: 2290.64 MB
CPU: 32.8% | Memory: 2291.05 MB
CPU: 12.5% | Memory: 2291.05 MB
CPU: 24.6% | Memory: 2291.05 MB
CPU: 26.6% | Memory: 2291.22 MB
CPU: 24.6% | Memory: 2291.23 MB
CPU: 25.0% | Memory: 2291.23 MB
CPU: 23.4% | Memory: 2291.23 MB
