File: prefix_log_2000.csv (46452 nodi)
Prova 1
CPU: 63.1% | Memory: 1223.72 MB
CPU: 65.6% | Memory: 1223.72 MB
CPU: 43.1% | Memory: 1223.73 MB
CPU: 57.0% | Memory: 1223.83 MB
CPU: 48.4% | Memory: 1223.83 MB
CPU: 50.8% | Memory: 1223.83 MB
CPU: 83.1% | Memory: 1223.83 MB
CPU: 67.7% | Memory: 1223.83 MB
CPU: 53.1% | Memory: 1223.84 MB
CPU: 50.8% | Memory: 1223.84 MB
CPU: 42.2% | Memory: 1223.84 MB
CPU: 96.9% | Memory: 1219.92 MB
CPU: 103.0% | Memory: 1215.48 MB
CPU: 82.8% | Memory: 1215.55 MB
CPU: 100.0% | Memory: 1215.55 MB
CPU: 92.2% | Memory: 1215.61 MB
CPU: 92.4% | Memory: 1215.65 MB
CPU: 73.8% | Memory: 1215.65 MB
CPU: 58.5% | Memory: 1215.66 MB
CPU: 55.4% | Memory: 1215.66 MB
CPU: 63.1% | Memory: 1215.66 MB
CPU: 46.2% | Memory: 1215.66 MB
CPU: 44.6% | Memory: 1215.66 MB
CPU: 59.4% | Memory: 1215.66 MB
CPU: 61.5% | Memory: 1215.66 MB
CPU: 56.9% | Memory: 1215.66 MB
CPU: 60.9% | Memory: 1215.66 MB
CPU: 58.4% | Memory: 1215.66 MB
CPU: 75.0% | Memory: 1215.70 MB
CPU: 64.6% | Memory: 1215.73 MB
CPU: 67.2% | Memory: 1215.78 MB
CPU: 75.0% | Memory: 1215.79 MB
CPU: 75.0% | Memory: 1215.80 MB
CPU: 32.8% | Memory: 1215.80 MB
CPU: 60.0% | Memory: 1215.82 MB
CPU: 70.3% | Memory: 1215.96 MB
CPU: 85.9% | Memory: 1216.01 MB
CPU: 47.7% | Memory: 1216.08 MB
CPU: 38.5% | Memory: 1216.11 MB
CPU: 46.1% | Memory: 1216.13 MB
CPU: 79.7% | Memory: 1216.11 MB
CPU: 61.5% | Memory: 1216.12 MB
CPU: 41.6% | Memory: 1216.13 MB
CPU: 48.4% | Memory: 1216.13 MB
CPU: 60.0% | Memory: 1216.14 MB
CPU: 66.1% | Memory: 1216.14 MB
CPU: 59.4% | Memory: 1216.14 MB
